,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,분기,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2,2021q3,2021q4,2022q1,2022q2,2022q3,2022q4
1,N/C/A,19/2/3,38/4/6,31/2/2,97/5/3,129/2/3,48/1/3,74/2/2,268/5/2,175/4/3,72/4/6,71/1/1,210/5/6,191/5/6,226/6/7,73/4/9,54/5/5
2,1,가동상회파악,쥬얼리사업합병,가공팔임,배터리모듈케이스,절삭공구산업,증착공정적용,정밀가공설비,자동차부품,전기자동차,로봇정밀감속,표면처리기술,니켈가격상승,니켈가격상승,자동차부품,차시장개화,폼팩터혁신
3,2,전방산업악화,피막성장방향,일본수출규제,제강사업성공,절삭공구제조,공정적용핵심,국내표준플레이트,축적기술바탕,절삭공구제조,전기차배터리,소재기술바탕,섬유직기섹셔,휴대부탄가스,온라인몰,전기차시장,작성시장상황
4,3,작성관련당사,올림픽앞두활발하,일본화이트리스트배제,풍력발전산업,소재절삭공구,적용핵심부품,통합수주시스템,정밀주조기술,차부품시장,차배터리모듈,특수표면처리,미래차전환,가격상승스테인리스,손목시계,흑자전환시작,향후시장환경
5,4,자료작성관련,도쿄올림픽앞두,임가공형태,통하기술경쟁,절삭공구소재,균일공급역할,설비투자통하,차부품산업,자동차부품,과거휴대부탄,디스플레이도체제조,직기섹셔날빔,판매가격인상,라인몰확대,대응위하산업,보자료활용
6,5,자동차부품,도심개발붐,임금상승영향,금형사용여부,기계절삭공구,대형신규기술,산업기계산업,송배전선금구,절삭공구산업,표면처리방법,도체제조부품,상승스테인리스판매,신흥산업성장,슬림온라인,전기차필수,방향고려향후
