,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,분기,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2,2021q3,2021q4,2022q1,2022q2,2022q3,2022q4
1,N/C/A,394/9/19,516/9/24,281/7/16,382/14/25,377/9/22,412/10/25,493/10/27,962/16/29,638/16/24,320/10/21,452/11/24,522/12/26,653/16/27,579/14/24,690/14/25,632/17/28
2,1,알루미늄거푸집,해상풍력타워,전지소재사업,전력기자재,직포제조기술,수출매출비중,점정찍방산,철판표면처리,해상풍력발전,수주잔고바탕,첨단무기체계,차량도체공급,전기차생산,지능교통시스템,해외신규수주,환경자동차
3,2,스마트폰케이스,영국해상풍력,차판매증가,자동차경량,첨단직포제조,인조흑연음극재,화룡점정찍,건설경기부진,풍력발전시장,복합소재사업,패널우레탄패널,스마트폰케이스,정밀금형사출,낮생산수율,고정가격입찰,철강사업부문
4,3,내구소비재,스마트폰부품,양극재가격상승,간접활선공법,양전하필터,케이스보호필름,국산화룡점정,정밀금형사출,냉동냉장고,자동차전장,무기체계강화,도체공급부족,차생산차질,생산능력확대,신규수주대폭,선조립용접철근
5,4,방어유도무기,대만해상풍력,전기차판매,스마트폰케이스,자동차경량,재고평가손실,자회사피엠씨텍,금형사출기술,풍력타워제조,디자인융합산업,자회사구조,생산량증가,차폐설계기술,자재가격상승,자재가격상승,세라믹제페라이트자석
6,5,스마트폰제품,스마트폰케이스,분기실적예상,전기차배터리,경량복합소재,휴대악세서리판매,지식산업센터,건축금속공작,풍력발전단지,첨단무기체계,철강관련사업,조강생산량,원하방향세기,스마트폰케이스,수주대폭증가,지능교통시스템
