,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,분기,2019q1,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2,2021q3,2021q4,2022q1,2022q2,2022q3,2022q4
1,N/C/A,28/1/4,74/1/3,42/1/7,35/1/8,94/1/8,30/1/4,141/1/7,23/1/4,29/1/6,6/1/2,19/1/5,33/1/4,2/1/1
2,1,시장타겟팅하,렌탈품목확대,닥터정규직,이동제한완화,라이프스타일변화,회계처리변경,렌탈자산폐기,가운데말레이시아미국,사업능력바탕,금융리스매출,가치금리상승,가격하락유발,간섭작성확인
3,2,가능높아지해외,정규직전환,정규직전환,정규직전환,가전대하수요,서부산불,자산폐기손실,해외매출성장,정수이외카테고리,해외사업매출,연결조정이익,이어지순수렌탈,채널아쉽소비
4,3,자회사시가,주되소비부상,말레이시아금융리스,온라인채널,산불영향,런칭하분기판매,현금흐름격차,하가운데말레이시아,가이던스제시전년,한국동일기준,않말레이시아고속,이어지전망매트리스,정확반영외부
5,4,자회사지분,메가렌탈품목,추가연장가능,가입이어지셧,해외매출확대,런칭하분기순증수,중장기프리미엄,역할하가운데,전년높베이스,전년높베이스,안정정사업구조,이유기존렌탈,작성확인작성
6,5,작년말레이시아시장,공기청정비데,이동제한명령,이어지셧다운,회사코웨이기초,지난해매트리스런칭하,다변포트폴리오바탕,말레이시아미국중심,전년낮금융,이익부진말레이,실질펀더멘탈,인기끌중복,작성오린아보
