,quarter,증권사
lab,2019q1,0.4613875039779357
lab,2019q2,0.4923338185346919
lab,2019q3,0.48116069680955176
lab,2019q4,0.5198396991886008
lab,2020q1,0.45664949387733966
lab,2020q2,0.443698053057042
lab,2020q3,0.5754588164502765
lab,2020q4,0.6126354936731825
lab,2021q1,0.638165100226688
lab,2021q2,0.6455521283158544
lab,2021q3,0.6339895743711726
lab,2021q4,0.6038356626641546
lab,2022q1,0.5782689807224829
lab,2022q2,0.5753934470093163
lab,2022q3,0.5240315828519951
lab,2022q4,0.491051829661958
