,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,분기,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2,2021q3,2021q4,2022q1,2022q2,2022q3,2022q4
1,N/C/A,275/7/14,281/7/15,287/8/14,145/5/13,265/6/14,294/6/16,723/8/17,638/7/19,434/6/17,717/7/23,441/5/17,644/8/20,751/10/20,641/7/22,590/7/24,487/6/21
2,1,매출비중확대,자회사실적,한일관계악화,아티스트라인업,교육플랫폼구축,웹툰웹소설,온라인교육,음반판매량,교재개발출판,온라인콘서트,음반음원유통,활동대하보상,웹툰웹소설,온라인콘서트,앨범판매량,라이크기획프로듀싱
3,2,주력자회사,주요자회사,아티스트라인업,아티스트활동량,아이스크림홈런,일본향매출,온라인콘서트,온라인콘서트,영어학습교재,아티스트라인업,아티스트라인업,오프라인콘서트재개,스낵컬치문화,아티스트라인업,구보판매량,세븐틴엔하이픈
4,3,블랙핑크글로벌팬덤,아티스트라인업,아티스트활동량,신인그룹데뷔,학습데이터분석,소속아티스트데뷔,음반판매량,음반음원매출,온라인콘서트,아이스크림홈런,온라인콘서트,아티스트라인업,오프라인공연재개,아티스트활동강화,인정교과서,세븐틴월드투어
5,4,글로벌팬덤빠르,웹소설웹툰,멤버군입대,주주친화정책,학습관리시스템,아티스트라인업,앨범판매량,와인유통사업,아티스트파워위버스,이타카홀딩스인수,하이브음반음원,위버스팬클럽,신인걸그룹,라인업팬덤,라이크기획계약,프로듀싱라이선스계약
6,5,블랙핑크국내넘,아티스트활동량,돔투어반영,앨범판매량,산업혁명시대,음반판매량,신인걸그룹,적자전환적자,제공종합교육,저스틴비버아리아,블랙핑크위버스입점,웹툰웹소설,주요아티스트활동,하반기투어,온라인콘서트,프로듀싱계약종료
