,names,parents,values,color
638,xxx638,금융 지원 서비스업,26,-4.605170186
639,xxx639,"영화, 비디오물, 방송프로그램 제작 및 배급업",26,
640,xxx640,기초 의약물질 및 생물학적 제제 제조업,26,inf
641,xxx641,토목 건설업,26,3.714197262
642,xxx642,전자부품 제조업,26,-3.26399626
643,xxx643,자연과학 및 공학 연구개발업,26,
644,xxx644,소프트웨어 개발 및 공급업,25,-2.284235954
645,xxx645,운송장비 임대업,25,-3.688879454
646,xxx646,기타 금융업,25,inf
647,xxx647,전자부품 제조업,25,
648,xxx648,운송장비 임대업,25,5.161351511
649,xxx649,기초 의약물질 및 생물학적 제제 제조업,25,1.897119985
650,xxx650,소프트웨어 개발 및 공급업,25,
651,xxx651,"그외 기타 전문, 과학 및 기술 서비스업",25,
652,xxx652,기타 화학제품 제조업,25,
653,xxx653,의료용 기기 제조업,24,
654,xxx654,특수 목적용 기계 제조업,24,6.597600351
655,xxx655,기타 화학제품 제조업,24,4.640261506
656,xxx656,소프트웨어 개발 및 공급업,24,
657,xxx657,반도체 제조업,24,-3.403179543
658,xxx658,음·식료품 및 담배 도매업,23,-3.867571243
659,xxx659,특수 목적용 기계 제조업,23,-4.94060669
660,xxx660,자동차 판매업,23,-3.888736054
661,xxx661,반도체 제조업,23,
662,xxx662,의약품 제조업,23,-4.254687212
663,xxx663,그외 기타 운송장비 제조업,22,
664,xxx664,특수 목적용 기계 제조업,22,3.593569274
665,xxx665,기타 금융업,22,-4.364834234
666,xxx666,"시멘트, 석회, 플라스터 및 그 제품 제조업",22,
667,xxx667,전자부품 제조업,22,1.999635548
668,xxx668,토목 건설업,22,
669,xxx669,의약품 제조업,21,4.367952907
670,xxx670,동물용 사료 및 조제식품 제조업,21,3.432449925
671,xxx671,기타 금융업,21,-3.896022664
672,xxx672,소프트웨어 개발 및 공급업,21,
673,xxx673,기타 전기장비 제조업,21,
674,xxx674,특수 목적용 기계 제조업,21,4.927943578
675,xxx675,특수 목적용 기계 제조업,21,5.878135862
676,xxx676,금융 지원 서비스업,21,
677,xxx677,기타 식품 제조업,20,
678,xxx678,여행사 및 기타 여행보조 서비스업,20,-3.444122426
679,xxx679,1차 비철금속 제조업,20,
680,xxx680,자동차 신품 부품 제조업,20,-0.6931471806
681,xxx681,도로 화물 운송업,20,4.094344562
682,xxx682,무점포 소매업,20,-2.238046572
683,xxx683,특수 목적용 기계 제조업,20,-4.900371091
684,xxx684,기타 금융업,20,-6.522092798
685,xxx685,의료용 기기 제조업,20,
686,xxx686,"구조용 금속제품, 탱크 및 증기발생기 제조업",20,-4.505963536
687,xxx687,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",20,
688,xxx688,소프트웨어 개발 및 공급업,20,-4.605170186
689,xxx689,의료용 기기 제조업,20,
690,xxx690,기타 화학제품 제조업,20,4.941642423
691,xxx691,보험 및 연금관련 서비스업,20,
692,xxx692,기타 화학제품 제조업,20,3.200526686
693,xxx693,소프트웨어 개발 및 공급업,20,3.636036973
694,xxx694,소프트웨어 개발 및 공급업,20,-4.094344562
695,xxx695,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",20,
696,xxx696,보험업,20,-4.49980967
697,xxx697,"그외 기타 전문, 과학 및 기술 서비스업",19,-5.149634169
698,xxx698,기초 화학물질 제조업,19,-3.270169119
699,xxx699,전자부품 제조업,19,
700,xxx700,일차전지 및 축전지 제조업,19,-2.314657674
701,xxx701,"그외 기타 전문, 과학 및 기술 서비스업",19,
702,xxx702,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",19,3.270169119
703,xxx703,일반 목적용 기계 제조업,19,3.498101187
704,xxx704,소프트웨어 개발 및 공급업,19,-4.05862648
705,xxx705,자동차 신품 부품 제조업,19,-3.606641356
706,xxx706,소프트웨어 개발 및 공급업,19,
707,xxx707,"내화, 비내화 요업제품 제조업",18,-5.416100402
708,xxx708,플라스틱제품 제조업,18,-4.077102756
709,xxx709,기초 의약물질 및 생물학적 제제 제조업,18,-4.089704183
710,xxx710,일차전지 및 축전지 제조업,18,-4.605170186
711,xxx711,자연과학 및 공학 연구개발업,18,
712,xxx712,기초 의약물질 및 생물학적 제제 제조업,18,-3.054572774
713,xxx713,기초 화학물질 제조업,18,
714,xxx714,"영화, 비디오물, 방송프로그램 제작 및 배급업",18,
715,xxx715,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",18,-4.017383521
716,xxx716,사진장비 및 광학기기 제조업,18,-5.403677882
717,xxx717,기타 화학제품 제조업,18,
718,xxx718,실내건축 및 건축마무리 공사업,18,
719,xxx719,신탁업 및 집합투자업,18,-3.560625119
720,xxx720,통신 및 방송 장비 제조업,17,-5.50962646
721,xxx721,편조의복 제조업,17,
722,xxx722,기타 금속 가공제품 제조업,17,3.717866991
723,xxx723,통신 및 방송 장비 제조업,17,
724,xxx724,전자부품 제조업,17,
725,xxx725,기타 정보 서비스업,17,
726,xxx726,항공 여객 운송업,17,
727,xxx727,건물 건설업,17,
728,xxx728,통신 및 방송 장비 제조업,17,
729,xxx729,통신 및 방송 장비 제조업,17,
730,xxx730,악기 제조업,16,-3.984343667
731,xxx731,일반 목적용 기계 제조업,16,
732,xxx732,기타 화학제품 제조업,16,0.2043004635
733,xxx733,컴퓨터 및 주변장치 제조업,16,
734,xxx734,전자부품 제조업,16,4.144216392
735,xxx735,기타 전기장비 제조업,16,
736,xxx736,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",16,5.764407096
737,xxx737,산업용 농·축산물 및 동·식물 도매업,16,
738,xxx738,소프트웨어 개발 및 공급업,16,-4.907451058
739,xxx739,"구조용 금속제품, 탱크 및 증기발생기 제조업",16,-3.246784613
740,xxx740,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",16,
741,xxx741,기타 화학제품 제조업,16,-2.944438979
742,xxx742,"펄프, 종이 및 판지 제조업",16,-1.910543005
743,xxx743,사진장비 및 광학기기 제조업,15,
744,xxx744,1차 철강 제조업,15,inf
745,xxx745,그외 기타 개인 서비스업,15,-4.605170186
746,xxx746,기타 식품 제조업,15,-5.646624061
747,xxx747,의약품 제조업,15,
748,xxx748,의료용 기기 제조업,15,-2.995732274
749,xxx749,기타 사업지원 서비스업,15,
750,xxx750,기타 금융업,15,-4.605170186
751,xxx751,기타 비금속 광물제품 제조업,15,
752,xxx752,자연과학 및 공학 연구개발업,15,inf
753,xxx753,전자부품 제조업,14,-3.947114325
754,xxx754,신탁업 및 집합투자업,14,
755,xxx755,소프트웨어 개발 및 공급업,14,-3.575550769
756,xxx756,"영화, 비디오물, 방송프로그램 제작 및 배급업",14,-2.659260037
757,xxx757,소프트웨어 개발 및 공급업,14,
758,xxx758,기타 금융업,14,-2.659260037
759,xxx759,기타 금융업,14,
760,xxx760,그외 기타 운송장비 제조업,14,3.688879454
761,xxx761,부동산 임대 및 공급업,14,-4.605170186
762,xxx762,전자부품 제조업,14,
763,xxx763,금융 지원 서비스업,14,-4.605170186
764,xxx764,기초 화학물질 제조업,14,4.640261506
765,xxx765,반도체 제조업,14,-4.605170186
766,xxx766,기계장비 및 관련 물품 도매업,14,inf
767,xxx767,"건축기술, 엔지니어링 및 관련 기술 서비스업",14,
768,xxx768,특수 목적용 기계 제조업,14,-2.719884659
769,xxx769,기타 정보 서비스업,14,-4.605170186
770,xxx770,낙농제품 및 식용빙과류 제조업,14,-3.816712826
771,xxx771,전자부품 제조업,14,-3.218875825
772,xxx772,상품 중개업,14,
773,xxx773,"섬유, 의복, 신발 및 가죽제품 소매업",13,
774,xxx774,기타 화학제품 제조업,13,-4.220847514
775,xxx775,플라스틱제품 제조업,13,4.053496509
776,xxx776,특수 목적용 기계 제조업,13,4.199705078
777,xxx777,기초 화학물질 제조업,13,-4.11966237
778,xxx778,특수 목적용 기계 제조업,13,3.968112472
779,xxx779,기초 화학물질 제조업,13,-3.371455412
780,xxx780,특수 목적용 기계 제조업,13,
781,xxx781,신탁업 및 집합투자업,13,-4.375595744
782,xxx782,토목 건설업,13,
783,xxx783,전자부품 제조업,13,-3.138833117
784,xxx784,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",13,
785,xxx785,특수 목적용 기계 제조업,13,4.337234876
786,xxx786,"영화, 비디오물, 방송프로그램 제작 및 배급업",13,-4.886917523
787,xxx787,합성고무 및 플라스틱 물질 제조업,13,-4.605170186
788,xxx788,기타 금융업,13,-4.605170186
789,xxx789,반도체 제조업,12,
790,xxx790,의약품 제조업,12,
791,xxx791,특수 목적용 기계 제조업,12,-3.673611982
792,xxx792,기타 화학제품 제조업,12,
793,xxx793,봉제의복 제조업,12,
794,xxx794,건물 건설업,12,
795,xxx795,소프트웨어 개발 및 공급업,12,-3.966090227
796,xxx796,소프트웨어 개발 및 공급업,12,
797,xxx797,전자부품 제조업,12,
798,xxx798,기타 금속 가공제품 제조업,12,-4.605170186
799,xxx799,텔레비전 방송업,12,
800,xxx800,고무제품 제조업,12,
801,xxx801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",12,
802,xxx802,기타 화학제품 제조업,12,-4.387221452
803,xxx803,기타 정보 서비스업,12,
804,xxx804,기타 운송관련 서비스업,12,
805,xxx805,기타 금융업,12,
806,xxx806,소프트웨어 개발 및 공급업,12,3.932642293
807,xxx807,소프트웨어 개발 및 공급업,12,2.407945609
808,xxx808,"건축기술, 엔지니어링 및 관련 기술 서비스업",11,-4.605170186
809,xxx809,기타 운송관련 서비스업,11,
810,xxx810,기초 화학물질 제조업,11,-5.413125095
811,xxx811,일반 교습 학원,11,6.618050961
812,xxx812,플라스틱제품 제조업,11,
813,xxx813,영상 및 음향기기 제조업,11,3.881251347
814,xxx814,부동산 임대 및 공급업,11,
815,xxx815,기타 운송관련 서비스업,11,
816,xxx816,기타 화학제품 제조업,11,-3.999034382
817,xxx817,기타 금속 가공제품 제조업,11,-2.746271414
818,xxx818,기타 화학제품 제조업,11,-3.816712826
819,xxx819,의약품 제조업,11,-inf
820,xxx820,기타 화학제품 제조업,11,-4.184437606
821,xxx821,소프트웨어 개발 및 공급업,11,
822,xxx822,기타 화학제품 제조업,11,
823,xxx823,선박 및 보트 건조업,11,-4.24415684
824,xxx824,여행사 및 기타 여행보조 서비스업,10,2.995732274
825,xxx825,가구 제조업,10,
826,xxx826,음식점업,10,4.573421488
827,xxx827,일반 목적용 기계 제조업,10,
828,xxx828,일차전지 및 축전지 제조업,10,5.470167623
829,xxx829,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",10,-2.302585093
830,xxx830,소프트웨어 개발 및 공급업,10,
831,xxx831,특수 목적용 기계 제조업,10,inf
832,xxx832,부동산 임대 및 공급업,10,
833,xxx833,소프트웨어 개발 및 공급업,10,
834,xxx834,통신 및 방송 장비 제조업,10,2.126694427
835,xxx835,그외 기타 제품 제조업,9,-4.605170186
836,xxx836,초등 교육기관,9,-4.605170186
837,xxx837,"서적, 잡지 및 기타 인쇄물 출판업",9,3.506557897
838,xxx838,의료용 기기 제조업,9,3.742946675
839,xxx839,특수 목적용 기계 제조업,9,
840,xxx840,그외 기타 제품 제조업,9,-4.972894966
841,xxx841,기초 의약물질 및 생물학적 제제 제조업,9,
842,xxx842,특수 목적용 기계 제조업,9,4.670015033
843,xxx843,전기 통신업,9,-2.120263536
844,xxx844,기타 금속 가공제품 제조업,9,3.782263779
845,xxx845,의약품 제조업,9,
846,xxx846,선박 및 보트 건조업,9,-3.324236341
847,xxx847,의료용 기기 제조업,9,-3.506557897
848,xxx848,전자부품 제조업,9,-4.193513108
849,xxx849,1차 비철금속 제조업,8,
850,xxx850,1차 철강 제조업,8,
851,xxx851,"영화, 비디오물, 방송프로그램 제작 및 배급업",8,-4.605170186
852,xxx852,일반 교습 학원,8,-4.471638793
853,xxx853,일차전지 및 축전지 제조업,8,-3.9310712
854,xxx854,특수 목적용 기계 제조업,8,4.364008129
855,xxx855,"그외 기타 전문, 과학 및 기술 서비스업",8,-3.218875825
856,xxx856,의료용품 및 기타 의약 관련제품 제조업,8,1.609437912
857,xxx857,건물설비 설치 공사업,8,4.043599363
858,xxx858,"그외 기타 전문, 과학 및 기술 서비스업",8,4.135166557
859,xxx859,기계장비 및 관련 물품 도매업,8,
860,xxx860,일차전지 및 축전지 제조업,8,
861,xxx861,기계장비 및 관련 물품 도매업,8,6.112864223
862,xxx862,플라스틱제품 제조업,8,2.430418465
863,xxx863,항공 여객 운송업,8,inf
864,xxx864,반도체 제조업,8,1.427116356
865,xxx865,기타 사업지원 서비스업,8,-4.605170186
866,xxx866,나무제품 제조업,8,inf
867,xxx867,의약품 제조업,8,6.396929655
868,xxx868,기초 화학물질 제조업,7,5.897938489
869,xxx869,기계장비 및 관련 물품 도매업,7,-4.605170186
870,xxx870,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",7,
871,xxx871,반도체 제조업,7,
872,xxx872,의료용품 및 기타 의약 관련제품 제조업,7,1.15518264
873,xxx873,생활용품 도매업,7,
874,xxx874,일반 및 생활 숙박시설 운영업,7,3.796338606
875,xxx875,기타 과학기술 서비스업,7,
876,xxx876,자동차 신품 부품 제조업,7,
877,xxx877,플라스틱제품 제조업,7,4.451019506
878,xxx878,자동차 신품 부품 제조업,7,-4.605170186
879,xxx879,특수 목적용 기계 제조업,7,
880,xxx880,기초 화학물질 제조업,7,-3.447717397
881,xxx881,기초 의약물질 및 생물학적 제제 제조업,6,-4.199705078
882,xxx882,기타 섬유제품 제조업,6,
883,xxx883,기타 정보 서비스업,6,-4.605170186
884,xxx884,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",6,
885,xxx885,낙농제품 및 식용빙과류 제조업,6,-5.521460918
886,xxx886,플라스틱제품 제조업,6,
887,xxx887,"영화, 비디오물, 방송프로그램 제작 및 배급업",6,
888,xxx888,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",6,-3.778491613
889,xxx889,건물 건설업,6,-5.140688422
890,xxx890,소프트웨어 개발 및 공급업,6,-4.605170186
891,xxx891,자연과학 및 공학 연구개발업,6,-4.605170186
892,xxx892,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",5,5.669880923
893,xxx893,기타 화학제품 제조업,5,-5.040488257
894,xxx894,소프트웨어 개발 및 공급업,5,4.094344562
895,xxx895,소프트웨어 개발 및 공급업,5,-5.075173815
896,xxx896,"가죽, 가방 및 유사제품 제조업",5,2.302585093
897,xxx897,교육지원 서비스업,5,
898,xxx898,자동차 신품 부품 제조업,5,
899,xxx899,기타 금융업,5,
900,xxx900,반도체 제조업,5,-5.155216523
901,xxx901,폐기물 처리업,5,
902,xxx902,자동차 부품 및 내장품 판매업,5,
903,xxx903,1차 철강 제조업,5,-4.787491743
904,xxx904,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",5,
905,xxx905,기타 금융업,5,4.605170186
906,xxx906,자동차 신품 부품 제조업,5,
907,xxx907,토목 건설업,5,inf
908,xxx908,기타 식품 제조업,4,-5.040488257
909,xxx909,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",4,
910,xxx910,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",4,
911,xxx911,기초 화학물질 제조업,4,
912,xxx912,부동산 임대 및 공급업,4,-4.605170186
913,xxx913,자동차 신품 부품 제조업,4,
914,xxx914,의료용 기기 제조업,4,-4.605170186
915,xxx915,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",4,
916,xxx916,전자부품 제조업,4,
917,xxx917,합성고무 및 플라스틱 물질 제조업,4,
918,xxx918,전기 및 통신 공사업,4,-4.605170186
919,xxx919,기타 전문 도매업,4,-3.688879454
920,xxx920,폐기물 처리업,4,-3.729701449
921,xxx921,의약품 제조업,4,-4.605170186
922,xxx922,일반 목적용 기계 제조업,4,
923,xxx923,"시멘트, 석회, 플라스터 및 그 제품 제조업",4,
924,xxx924,고무제품 제조업,4,
925,xxx925,의약품 제조업,4,
926,xxx926,특수 목적용 기계 제조업,3,-5.026383651
927,xxx927,자연과학 및 공학 연구개발업,3,-4.605170186
928,xxx928,1차 철강 제조업,3,-5.11599581
929,xxx929,기타 금융업,3,
930,xxx930,회사 본부 및 경영 컨설팅 서비스업,3,-4.605170186
931,xxx931,의약품 제조업,3,
932,xxx932,통신 및 방송 장비 제조업,3,
933,xxx933,금융 지원 서비스업,2,-inf
934,xxx934,상품 종합 도매업,2,
935,xxx935,의약품 제조업,2,
936,xxx936,기타 화학제품 제조업,2,
937,xxx937,"섬유, 의복, 신발 및 가죽제품 소매업",2,
938,xxx938,부동산 임대 및 공급업,2,
939,xxx939,전기 통신업,2,
940,xxx940,기타 금융업,2,
941,xxx941,소프트웨어 개발 및 공급업,2,
942,xxx942,"도축, 육류 가공 및 저장 처리업",2,
943,xxx943,소프트웨어 개발 및 공급업,2,
944,xxx944,1차 비철금속 제조업,1,-4.605170186
945,xxx945,의약품 제조업,1,
946,xxx946,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1,
947,xxx947,은행 및 저축기관,1,
948,xxx948,기타 정보 서비스업,1,
949,xxx949,전자부품 제조업,1,
950,xxx950,의약품 제조업,1,-4.605170186
