,names,parents,values,color
272,xxx272,특수 목적용 기계 제조업,96,
273,xxx273,음·식료품 및 담배 도매업,95,-3.802849418
274,xxx274,반도체 제조업,95,-3.547800856
275,xxx275,화학섬유 제조업,95,-3.818759095
276,xxx276,의약품 제조업,95,
277,xxx277,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",94,-3.101624563
278,xxx278,상품 종합 도매업,93,-3.070931089
279,xxx279,전자부품 제조업,93,-4.206593739
280,xxx280,기타 화학제품 제조업,92,
281,xxx281,자연과학 및 공학 연구개발업,92,
282,xxx282,특수 목적용 기계 제조업,92,
283,xxx283,의료용품 및 기타 의약 관련제품 제조업,92,
284,xxx284,자동차 신품 부품 제조업,92,
285,xxx285,기타 금융업,91,1.952445218
286,xxx286,알코올음료 제조업,91,
287,xxx287,"그외 기타 전문, 과학 및 기술 서비스업",91,
288,xxx288,기타 과학기술 서비스업,91,
289,xxx289,일반 목적용 기계 제조업,91,1.347073648
290,xxx290,절연선 및 케이블 제조업,90,
291,xxx291,특수 목적용 기계 제조업,89,5.948416294
292,xxx292,신발 및 신발 부분품 제조업,89,-4.461102888
293,xxx293,플라스틱제품 제조업,89,-4.144433279
294,xxx294,기타 화학제품 제조업,88,4.376328614
295,xxx295,기타 금융업,88,-3.738751284
296,xxx296,절연선 및 케이블 제조업,87,-5.077326669
297,xxx297,생활용품 도매업,87,-5.25725588
298,xxx298,자동차 신품 부품 제조업,87,
299,xxx299,특수 목적용 기계 제조업,86,-3.037146059
300,xxx300,특수 목적용 기계 제조업,86,-4.121114803
301,xxx301,소프트웨어 개발 및 공급업,86,-2.310307139
302,xxx302,방적 및 가공사 제조업,85,
303,xxx303,1차 철강 제조업,85,-5.445722658
304,xxx304,의료용 기기 제조업,84,1.139434283
305,xxx305,자연과학 및 공학 연구개발업,84,-4.148069962
306,xxx306,소프트웨어 개발 및 공급업,84,-4.02874728
307,xxx307,특수 목적용 기계 제조업,84,6.551080335
308,xxx308,의료용 기기 제조업,83,
309,xxx309,통신 및 방송 장비 제조업,82,2.851692903
310,xxx310,의료용 기기 제조업,82,-3.599158004
311,xxx311,의료용품 및 기타 의약 관련제품 제조업,81,
312,xxx312,기타 식품 제조업,81,
313,xxx313,특수 목적용 기계 제조업,81,-4.305065594
314,xxx314,기타 화학제품 제조업,80,
315,xxx315,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",80,-3.251665648
316,xxx316,특수 목적용 기계 제조업,80,3.240078033
317,xxx317,의료용 기기 제조업,80,
318,xxx318,기타 식품 제조업,79,-3.924601788
319,xxx319,항공 여객 운송업,79,4.475609201
320,xxx320,기타 과학기술 서비스업,79,
321,xxx321,의약품 제조업,78,1.89914223
322,xxx322,자연과학 및 공학 연구개발업,78,
323,xxx323,기타 화학제품 제조업,78,-4.026136312
324,xxx324,의료용품 및 기타 의약 관련제품 제조업,78,
325,xxx325,1차 철강 제조업,78,
326,xxx326,폐기물 처리업,78,-4.094344562
327,xxx327,기초 화학물질 제조업,77,
328,xxx328,자연과학 및 공학 연구개발업,77,
329,xxx329,의약품 제조업,77,
330,xxx330,자동차 신품 부품 제조업,77,-0.9545119447
331,xxx331,보험업,77,-3.834731331
332,xxx332,소프트웨어 개발 및 공급업,77,-2.995732274
333,xxx333,"시멘트, 석회, 플라스터 및 그 제품 제조업",76,-3.418589124
334,xxx334,의료용품 및 기타 의약 관련제품 제조업,76,-1.778514242
335,xxx335,전구 및 조명장치 제조업,76,
336,xxx336,소프트웨어 개발 및 공급업,76,
337,xxx337,"구조용 금속제품, 탱크 및 증기발생기 제조업",76,
338,xxx338,"영화, 비디오물, 방송프로그램 제작 및 배급업",75,-3.742946675
339,xxx339,자연과학 및 공학 연구개발업,75,
340,xxx340,의약품 제조업,75,
341,xxx341,기타 금융업,74,-4.037186148
342,xxx342,"골판지, 종이 상자 및 종이용기 제조업",74,
343,xxx343,기타 금융업,74,-4.605170186
344,xxx344,기타 화학제품 제조업,74,
345,xxx345,선박 및 보트 건조업,73,-3.882404642
346,xxx346,자동차 신품 부품 제조업,73,
347,xxx347,기타 정보 서비스업,73,-3.192659983
348,xxx348,기타 화학제품 제조업,72,-4.127134385
349,xxx349,보험업,72,-4.465269345
350,xxx350,유리 및 유리제품 제조업,72,4.738088646
351,xxx351,의료용 기기 제조업,71,-3.761180848
352,xxx352,소프트웨어 개발 및 공급업,71,-3.600586847
353,xxx353,소프트웨어 개발 및 공급업,70,-4.856484614
354,xxx354,전기 및 통신 공사업,70,-1.361258283
355,xxx355,부동산 임대 및 공급업,70,-3.23306046
356,xxx356,금융 지원 서비스업,70,3.170085661
357,xxx357,전자부품 제조업,70,-3.575550769
358,xxx358,자동차 신품 부품 제조업,70,
359,xxx359,반도체 제조업,70,4.140864578
360,xxx360,토목 건설업,70,
361,xxx361,특수 목적용 기계 제조업,70,3.670860949
362,xxx362,영상 및 음향기기 제조업,70,1.811962177
363,xxx363,플라스틱제품 제조업,70,
364,xxx364,"영화, 비디오물, 방송프로그램 제작 및 배급업",69,3.624340933
365,xxx365,기타 전기장비 제조업,68,
366,xxx366,소프트웨어 개발 및 공급업,68,-4.907451058
367,xxx367,기타 교육기관,68,-3.126502505
368,xxx368,기타 금융업,68,-3.39479661
369,xxx369,기타 화학제품 제조업,68,
370,xxx370,보험업,68,-4.679161438
371,xxx371,소프트웨어 개발 및 공급업,68,3.969181419
372,xxx372,"영화, 비디오물, 방송프로그램 제작 및 배급업",68,-4.135166557
373,xxx373,플라스틱제품 제조업,68,1.261131218
374,xxx374,소프트웨어 개발 및 공급업,68,
375,xxx375,유원지 및 기타 오락관련 서비스업,68,-3.464052697
376,xxx376,기타 전기장비 제조업,67,-3.57671816
377,xxx377,초등 교육기관,67,-3.936594266
378,xxx378,특수 목적용 기계 제조업,67,
379,xxx379,"영화, 비디오물, 방송프로그램 제작 및 배급업",67,4.889113936
380,xxx380,소프트웨어 개발 및 공급업,67,
381,xxx381,1차 철강 제조업,66,-2.954489315
382,xxx382,의료용 기기 제조업,66,
383,xxx383,1차 철강 제조업,66,
384,xxx384,합성고무 및 플라스틱 물질 제조업,66,-2.420849013
385,xxx385,기타 정보 서비스업,66,-3.248728788
386,xxx386,전자부품 제조업,65,-3.390147545
387,xxx387,"곡물가공품, 전분 및 전분제품 제조업",65,
388,xxx388,자연과학 및 공학 연구개발업,65,
389,xxx389,의약품 제조업,65,3.33220451
390,xxx390,기초 의약물질 및 생물학적 제제 제조업,65,-4.144354983
391,xxx391,기타 화학제품 제조업,64,
392,xxx392,특수 목적용 기계 제조업,64,4.023248641
393,xxx393,기타 화학제품 제조업,64,4.346237527
394,xxx394,전자부품 제조업,64,
395,xxx395,일반 및 생활 숙박시설 운영업,64,
396,xxx396,"그외 기타 전문, 과학 및 기술 서비스업",64,-4.220399392
397,xxx397,의료용 기기 제조업,64,-3.583518938
398,xxx398,자동차 판매업,64,-4.043599363
