M,ICT Export
200601,7.0255592213813
200602,12.965261224623674
200603,7.351801756202832
200604,5.860749562033035
200605,9.588401681921127
200606,6.304540802339574
200607,3.5199601965750134
200608,10.5776451328299
200609,13.358292330926531
200610,5.487218744748262
200611,9.526267463395826
200612,7.481871456412364
200701,15.34272519546775
200702,8.788408656050464
200703,7.97727893122871
200704,10.840581364816032
200705,6.698646722617397
200706,11.762105781096295
200707,22.655472205840994
200708,16.141167852255606
200709,2.4930033104749327
200710,25.078481516999915
200711,17.23566965820001
200712,12.274695089069482
200801,9.48289726014022
200802,8.65304360599491
200803,15.55202387054564
200804,21.623765925020706
200805,17.867010029230073
200806,11.872759794325248
200807,9.99014923072788
200808,-0.5069596624312709
200809,9.163110196102991
200810,-8.50752738408518
200811,-32.64812676991269
200812,-39.19252887102939
200901,-38.67463909182346
200902,-24.47075084668053
200903,-26.781087679247477
200904,-19.64105292691511
200905,-17.1646336470219
200906,-11.775289105777205
200907,-10.510981641311659
200908,-7.677723564754103
200909,-2.5184803116103183
200910,0.5789114251822696
200911,36.39698684578539
200912,73.3161275616855
201001,59.52599261596333
201002,38.96521856437579
201003,44.76019681271265
201004,33.25071369622469
201005,32.491612947760984
201006,28.31892428393553
201007,24.717543529802484
201008,26.399301303021787
201009,13.680615705343797
201010,17.230091020311107
201011,16.019588180885364
201012,15.515756605427853
201101,16.25439873374799
201102,4.660336280640422
201103,6.005451151575329
201104,5.477903768461019
201105,4.431159272539077
201106,1.546718015022293
201107,-4.049894972336347
201108,-2.7542884555541036
201109,4.377977747066538
201110,-2.713560199294946
201111,-4.8462356949169845
201112,-3.567992315229887
201201,-12.196221446086625
201202,4.183140166045391
201203,-7.259681054925366
201204,-9.48405207862163
201205,-3.149217738007536
201206,-2.4509224423882188
201207,-1.684766570991897
201208,-0.014955278932788474
201209,0.09324796212750641
201210,6.004740864947536
201211,12.117922835647008
201212,4.096183246470673
201301,19.120387838114937
201302,3.9280659126460904
201303,12.045875777716276
201304,19.265299127332042
201305,18.591336912758138
201306,4.536979892341961
201307,12.188151812956377
201308,13.71013999771445
201309,9.686389110590426
201310,13.941613365227411
201311,3.0933288068150944
201312,6.468930951371846
201401,0.9518439281265074
201402,7.843559776519783
201403,8.085052622513217
201404,3.9471871541100256
201405,-7.728216678595061
201406,4.3641615198064585
201407,0.6409967727368127
201408,-3.0772925318236304
201409,1.4673456775389013
201410,-1.6525745897535842
201411,3.0845640332601647
201412,9.47806920482131
201501,6.471805088633545
201502,-2.431111824236737
201503,-2.9099778085885646
201504,-1.9097187300216518
201505,3.0804573448482984
201506,0.9643108909834268
201507,-3.4626106082064894
201508,0.6053564299739662
201509,1.5438234945726776
201510,-1.6395691930551806
201511,-7.073944583843641
201512,-14.69935630323873
201601,-17.789985378084282
201602,-9.962145413827088
201603,-5.126917900879718
201604,-14.324318279754152
201605,-9.969591017102857
201606,-5.175820298732248
201607,-6.721882758164028
201608,-2.190126622530471
201609,-8.56416683254136
201610,-6.803675190548688
201611,3.15520519167319
201612,13.168645157510312
201701,16.617534531797972
201702,22.699689726574206
201703,15.70168917615095
201704,24.06562115450437
201705,17.32084716136795
201706,17.891093480503244
201707,20.791237627827485
201708,23.818233089731393
201709,32.52474585657876
201710,20.49337200590631
201711,25.88633570334325
201712,20.214308816748968
201801,27.96090106652312
201802,11.621110780902953
201803,17.374609439958235
201804,9.582187668731976
201805,20.10777176166829
201806,20.322082776943077
201807,18.18175974674638
201808,15.393535929316982
201809,5.332247807944967
201810,12.192751497484068
201811,-1.7090800135582782
201812,-10.12590964181662
201901,-18.387793517829394
201902,-19.24030164210754
201903,-16.43630799623898
201904,-10.776411497763604
201905,-22.70223147132414
201906,-22.542319043808902
201907,-21.825307368571018
201908,-24.654332881956663
201909,-22.302691093999044
201910,-23.3239912935627
201911,-21.800690586841853
201912,-9.52501342271212
202001,-7.193039519264602
202002,8.17304545953661
202003,1.0622060797007293
202004,-15.314166004975661
202005,-2.660520937763536
202006,0.9447332629192857
202007,3.237299216032241
202008,0.11686045996013661
202009,11.8241693618006
202010,5.874810836083071
202011,15.608995136124875
202012,24.733001656954073
202101,21.520890033192998
202102,11.380376104631807
202103,8.86498917601996
202104,32.52251264117291
202105,27.398995145710714
202106,29.11738872890271
202107,30.064340237497987
202108,32.9876291400646
202109,21.085321019585933
202110,21.47994405587164
202111,29.96578869325691
202112,23.272046807096245
202201,20.44145605055199
202202,23.559004873514894
202203,33.57639664609451
202204,16.881341911231004
202205,13.878681102892969
202206,6.747249403262231
202207,-0.8829154534747232
202208,-4.642893608389727
202209,-2.178955135316869
