M,Capital Investment Index
200601,6.441223832528166
200602,15.280135823429546
200603,16.6429587482219
200604,17.31066460587327
200605,16.89088191330343
200606,4.922644163150494
200607,1.4285714285714164
200608,19.716088328075728
200609,23.817292006525292
200610,10.5105105105105
200611,14.410480349344951
200612,7.804232804232811
200701,16.641452344931935
200702,12.076583210603815
200703,6.707317073170742
200704,13.306982872200251
200705,5.498721227621473
200706,9.517426273458469
200707,6.478873239436609
200708,3.030303030303031
200709,-9.354413702239796
200710,6.250000000000028
200711,6.10687022900764
200712,7.607361963190186
200801,-0.25940337224382404
200802,-2.759526938239148
200803,-0.5714285714285694
200804,-1.0465116279069946
200805,-0.6060606060606091
200806,1.8359853121175007
200807,9.391534391534393
200808,0.2557544757033128
200809,7.122093023255815
200810,-2.3017902813299145
200811,-16.906474820143885
200812,-17.787913340935006
200901,-28.868660598179446
200902,-17.83783783783784
200903,-19.770114942528735
200904,-21.73913043478261
200905,-16.21951219512195
200906,-7.572115384615387
200907,-14.873035066505437
200908,-15.43367346938777
200909,5.834464043419274
200910,-5.890052356020945
200911,14.430014430014438
200912,21.359223300970882
201001,34.73491773308959
201002,26.809210526315795
201003,37.24928366762177
201004,34.83483483483485
201005,25.036390101892295
201006,26.007802340702213
201007,31.39204545454544
201008,37.85822021116141
201009,11.794871794871796
201010,23.087621696801094
201011,16.01513240857504
201012,13.371428571428567
201101,11.940298507462671
201102,-0.1297016861219049
201103,4.384133611691027
201104,2.338530066815153
201105,15.483119906868438
201106,4.850361197110416
201107,3.243243243243228
201108,5.251641137855572
201109,0.6880733944954187
201110,-5.762711864406782
201111,-0.4347826086956559
201112,1.3104838709677438
201201,5.575757575757564
201202,26.363636363636374
201203,-3.5
201204,3.046789989118608
201205,-4.939516129032256
201206,-10.236220472440934
201207,-1.5706806282722425
201208,-16.52806652806653
201209,-5.466970387243734
201210,1.0791366906474735
201211,-10.04366812227073
201212,-9.353233830845781
201301,-7.807118254879441
201302,-23.124357656731746
201303,-6.632124352331616
201304,-7.074973600844785
201305,-3.4994697773064587
201306,0.21929824561404132
201307,2.872340425531931
201308,11.706102117061022
201309,-4.578313253012041
201310,15.895610913404525
201311,10.315533980582515
201312,7.025246981339194
201401,0.37359900373598975
201402,13.903743315508038
201403,8.657047724750285
201404,12.045454545454533
201405,6.043956043956044
201406,2.1881838074398132
201407,2.5853154084798433
201408,-9.921962095875145
201409,12.752525252525231
201410,-8.597748208802457
201411,10.451045104510442
201412,15.282051282051285
201501,12.40694789081887
201502,3.873239436619727
201503,8.98876404494382
201504,3.0425963488843735
201505,0.10362694300518172
201506,12.955032119914335
201507,7.157258064516128
201508,16.707920792079207
201509,9.294512877939525
201510,14.781634938409852
201511,-2.4900398406374507
201512,-0.533807829181498
201601,-4.194260485651213
201602,-6.21468926553672
201603,-2.811621368322406
201604,-2.4606299212598373
201605,5.79710144927536
201606,6.445497630331758
201607,-6.396989651928493
201608,7.847295864263003
201609,-1.4344262295081904
201610,-1.1707317073170742
201611,12.257405515832474
201612,11.180679785330952
201701,11.635944700460826
201702,19.518072289156635
201703,21.022179363548688
201704,16.548940464177605
201705,20.352250489236795
201706,17.45325022261798
201707,20.804020100502512
201708,12.19272369714848
201709,25.05197505197505
201710,-0.39486673247778015
201711,7.73430391264786
201712,4.987932421560743
201801,21.671826625387
201802,11.088709677419345
201803,2.2310756972111676
201804,2.7705627705627762
201805,-3.9837398373983746
201806,-12.433661865049288
201807,-8.735440931780374
201808,-9.465381244522348
201809,-18.86949293433085
201810,6.243805748265601
201811,-10.810810810810821
201812,-13.793103448275872
201901,-15.012722646310436
201902,-24.954627949183305
201903,-15.042868277474668
201904,-4.2965459140691
201905,-8.04403048264183
201906,-6.666666666666671
201907,-1.8231540565177795
201908,-1.2584704743465664
201909,-0.20491803278687826
201910,-0.27985074626865014
201911,1.7045454545454533
201912,11.733333333333334
202001,-2.3952095808383262
202002,16.565900846432896
202003,10.733944954128447
202004,1.5845070422535201
202005,2.486187845303874
202006,13.265306122448976
202007,7.4280408542247045
202008,-1.7647058823529278
202009,17.96714579055441
202010,-1.8709073900841844
202011,4.562383612662927
202012,5.648369132856018
202101,20.24539877300613
202102,7.7800829875518644
202103,9.693454846727434
202104,16.9844020797227
202105,11.680143755615461
202106,11.05651105651107
202107,11.14952463267069
202108,13.273453093812378
202109,-4.960835509138377
202110,3.050524308865562
202111,8.81567230632237
202112,6.47590361445782
202201,0.08503401360545126
202202,2.406159769008667
202203,-5.3625377643504635
202204,-11.70370370370371
202205,5.3901850362027375
202206,-0.3687315634218322
202207,-1.8662519440124328
202208,13.920704845814981
202209,11.996336996336993
202210,16.558741905642933
202211,11.04746317512273
