,month,증권사
lab,201901,0.41383894213950884
lab,201902,0.44227840389887296
lab,201903,0.551881746572012
lab,201904,0.4915081737802939
lab,201905,0.46827329829509035
lab,201906,0.5315752248156007
lab,201907,0.4490490725522423
lab,201908,0.45237232886635276
lab,201909,0.5753165187917456
lab,201910,0.46441947565543074
lab,201911,0.5278877293990644
lab,201912,0.6173350582147478
lab,202001,0.5057046704424197
lab,202002,0.4458558495333006
lab,202003,0.42025420254202545
lab,202004,0.3568850227824132
lab,202005,0.4487623606474775
lab,202006,0.568183858515127
lab,202007,0.5134724857685009
lab,202008,0.5853291536050157
lab,202009,0.6473054415232772
lab,202010,0.5972132628047994
lab,202011,0.5914581118948691
lab,202012,0.6984046594074449
lab,202101,0.6381699346405229
lab,202102,0.6050803137840867
lab,202103,0.6800302571860817
lab,202104,0.6244288564257674
lab,202105,0.6446251345211048
lab,202106,0.6871670702179177
lab,202107,0.6302721313646296
lab,202108,0.6166655150970773
lab,202109,0.6648561657614163
lab,202110,0.5639351478248111
lab,202111,0.5907044491525424
lab,202112,0.7125695868737182
lab,202201,0.5514516263206056
lab,202202,0.5353210640520775
lab,202203,0.6567711196628184
lab,202204,0.5647103085026336
lab,202205,0.5723177420348802
lab,202206,0.6000447627573858
lab,202207,0.47291361639824303
lab,202208,0.5467878537492253
lab,202209,0.5774441596484804
lab,202210,0.43941890984557164
lab,202211,0.508323074452711
lab,202212,0.6341263330598852
