,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,분기,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2,2021q3,2021q4,2022q1,2022q2,2022q3,2022q4
1,N/C/A,46/3/7,55/3/6,44/2/6,39/3/5,140/3/8,106/3/5,9/1/2,41/2/5,16/2/2,272/5/7,34/2/6,24/3/3,118/4/9,116/3/7,55/2/6,38/3/4
2,1,식품제조부문,앰배서더서울용산,식자재유통,앰배서더서울용산,앰배서더서울용산,표준산업분류,가능높외식,급식외식부문,가능높추가,이전높수준,적자사업철수,라이프스타일콘텐츠,방역규제완화,재료가격상승,변수고려보수,고객증권투자
3,2,급식단가인상,최저임금인상,사업개발사업,신정동첨단물류,리조트등기분양,분류외식산업,시장커지전망,인천쇼핑몰,발생시기감안,외식전문기업,구조조정효과,프리미엄복합문화,자산가치상승,식자재유통,하반기호텔,국내여행수요
4,3,부문성장지속,부진영업환경,서울서남핵심,가격재무제표,평가정보구성,국내외식트렌드,시장확대가속,가능높외식,부문통하빵,등기분양사업,제조공장가동,복합문화공간,호텔객실점유,요인재료가격,고려보수접근,생기국내여행
5,4,제조부문성장,서울용산노보텔,명도시첨단,서부보유부동,등기분양사업,지배구조안정,영향크작용,외식사업경우,부분고려모멘텀,브랜드대표메뉴,완화시수요,자재값상승,신정동부지개발,리스크요인재료,하반기기점,노하우생기
6,5,제거단체급식,연안식당성공,트럭터미널부지,보유부동산,기존리조트등기,산업축차지,외식사업가성,외식사업직영,시기감안동일베이스,분양부문올해,외식급식사업,일시잡히회계,도시첨단물류,가격상승하,대하대외변수,여행수요증가
