,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,분기,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2,2021q3,2021q4,2022q1,2022q2,2022q3,2022q4
1,N/C/A,141/3/11,185/2/15,198/3/12,145/2/13,301/4/12,242/2/17,336/2/18,199/2/18,244/3/16,239/3/17,284/4/16,165/3/11,207/4/13,150/3/13,221/4/14,199/4/13
2,1,마산공장소주,맥주종량세,소주가격인상,반일감정여파,주정제조공정,수요분기저점,테라판매호조,내년주류시장,사회거리두,업소시장축소,거리두단계,단계일상회복,오미크론변바이러스,거리두완화,제품가격인상,화물연대파업
3,2,가격경쟁개선,소주가격인상,판매량증가,일본제품불매,평가정보구성,상승세지속,마케팅활동축소,시장수요회복,주류시장회복,가격인상수요,거리두완화,사모임인원,음료부문수익,화물연대파업,거리두완화,가격인상효과
4,3,세종량세,경쟁가격인상,맥주매출증가,어닝파워상승,주정제조기업,외식수요분기,판매량증가,맥주공장가동,커피전문시장,사회거리두,소폭거리두,모임인원제한,가격인상효과,판매량증가,거리두해제,출시국내음식
5,4,종가세종량,제품테라출시,목표주유지,같확대가속,주정도매업자,판매량증가,전체주류시장,서울수도중심,거리두강화,경쟁가격인상,두단계상향,델타변바이러스,제품가격인상,가격인상효과,청주와인위스키,내년기저효과
6,5,맥주매출감소,수입맥주성장,성장견조하소주,주세법개정,산업기초소재,소비공포심리,마산공장소주,주류시장수요,수요회복상황,주류규제개선,제품믹스개선,위드코로나시대진입,수익탄산카테고리,않중장기,사회거리두,음식업계최초
