,코스피,음식료품,섬유의복,종이목재,화학,의약품,비금속광물,철강금속,기계,전기전자,의료정밀,운수장비,유통업,전기가스업,건설업,운수창고업,통신업,금융업
201901,2101.984090909091,4032.5704545454546,265.14863636363634,370.58681818181816,4888.694090909091,11438.959545454545,1714.3263636363636,4262.691818181818,809.8281818181819,15454.882727272727,2364.6954545454546,1498.9304545454545,400.0163636363637,1082.0631818181819,115.87954545454545,1380.800909090909,394.02409090909094,436.1709090909091
201902,2210.1988235294116,4052.049411764706,285.2758823529412,394.8705882352941,5216.19294117647,11539.430588235295,1870.6682352941177,4424.6994117647055,842.3770588235294,17160.057647058824,2721.415294117647,1524.9758823529412,410.9476470588236,1091.7511764705882,119.74,1425.9364705882351,374.84999999999997,453.97117647058826
201903,2161.9145,4060.1894999999995,299.469,392.8005,5171.925499999999,11159.7495,1696.157,4260.1050000000005,765.0695,16470.211499999998,2567.3085,1481.468,418.16450000000003,1069.216,109.92249999999999,1357.893,366.6005,449.1525
201904,2212.120454545455,4006.316363636364,320.5713636363636,401.75181818181824,5262.312272727272,11118.885909090908,1740.3063636363636,4399.903181818182,791.1204545454547,17226.296363636364,2678.8213636363635,1572.1404545454543,428.92,950.8759090909091,110.92727272727274,1425.4918181818182,357.3659090909091,456.1868181818182
201905,2086.8980952380953,3786.6014285714286,312.3757142857143,397.63142857142856,4809.841428571429,10134.718571428572,1644.3790476190475,4009.429523809524,745.342380952381,16033.987619047619,2695.7576190476193,1532.0690476190478,395.88190476190476,859.1609523809524,107.51285714285714,1436.8204761904763,367.34000000000003,437.847619047619
201906,2105.303157894737,3735.22052631579,297.76473684210526,400.17,4731.184210526316,10362.61947368421,1717.5221052631578,4091.501052631579,770.6884210526316,16394.668947368424,2694.463684210526,1592.756842105263,384.71,850.6331578947369,115.02368421052631,1430.2226315789474,367.67473684210523,437.89947368421053
201907,2079.48,3603.7400000000002,291.40478260869565,369.0469565217391,4699.544347826087,9609.982608695653,1614.0234782608695,4001.117826086957,742.8000000000001,16915.182608695653,2719.0765217391304,1570.2600000000002,370.3430434782608,863.4686956521739,104.44434782608695,1341.75,361.04434782608695,422.3739130434783
201908,1944.2376190476189,3255.7676190476186,275.25857142857143,353.7080952380952,4273.878095238096,8440.980952380953,1486.8504761904762,3608.455238095238,695.2390476190476,16109.555714285714,2612.964285714286,1521.0700000000002,341.4866666666667,831.4804761904762,92.81428571428572,1256.8728571428571,340.06380952380954,378.3147619047619
201909,2045.2052631578947,3407.884736842105,280.84999999999997,359.7794736842105,4495.856842105263,9058.40947368421,1568.9742105263158,3812.2705263157895,739.4452631578947,17302.52842105263,2641.31,1613.3510526315788,350.92263157894735,833.2157894736843,98.16,1278.2115789473685,344.1163157894737,392.2884210526316
201910,2065.747619047619,3406.4842857142858,278.52,345.1595238095238,4476.1,9977.377619047618,1494.3433333333332,3650.9695238095237,717.2180952380952,18001.62476190476,2563.142380952381,1558.7661904761906,345.36619047619047,831.2738095238095,95.79809523809524,1272.7466666666667,341.9009523809524,392.64428571428573
201911,2128.794761904762,3497.0109523809524,296.00857142857143,338.0957142857143,4557.913333333333,10494.76,1506.1761904761904,3605.5176190476186,694.7028571428572,18778.33523809524,2452.3909523809525,1555.1,361.3842857142857,871.9457142857143,95.3504761904762,1314.8638095238096,348.50333333333333,404.57142857142856
201912,2147.0135,3424.594,283.9205,327.678,4511.8665,10371.943000000001,1460.4630000000002,3688.1645,689.6485,19296.845999999998,2354.0345,1555.1955,361.883,886.1605,92.7495,1316.627,347.1895,410.829
