,0,1,2
0,1,2,6
1,1,3,5
2,1,5,5
3,1,6,3
4,2,2,6
5,2,6,1
6,3,2,4
7,3,3,4
8,4,4,3
9,4,5,1
10,5,2,1
11,5,4,1
12,5,4,1
13,5,5,5
14,6,2,2
15,6,3,5
16,6,4,4
17,7,2,1
18,7,3,4
19,7,4,1
20,7,5,3
21,8,2,3
22,8,3,5
23,8,3,5
24,8,4,4
25,8,5,5
26,9,2,2
27,9,6,4
28,10,4,4
29,10,6,7
30,11,2,3
31,11,3,1
32,11,4,1
33,12,2,5
34,12,2,5
35,12,3,4
36,12,4,1
37,12,5,3
38,13,2,4
39,13,3,2
40,13,5,7
41,14,2,1
42,14,4,3
43,14,5,1
44,15,2,2
45,15,3,2
46,15,4,1
47,16,3,2
