,0,1,2
0,1,2,1
1,1,4,3
2,2,2,1
3,2,3,2
4,3,2,1
5,3,3,5
6,3,4,8
7,3,5,2
8,3,6,3
9,4,2,1
10,4,6,2
11,5,2,1
12,5,3,6
13,5,4,6
14,5,6,8
15,6,3,2
16,6,4,6
17,6,5,3
18,7,4,8
19,8,3,7
20,8,5,3
21,9,5,8
22,10,3,8
23,11,2,2
24,11,3,3
25,11,5,3
26,12,2,2
27,12,3,3
28,12,5,6
29,13,2,2
30,14,2,2
31,14,5,4
32,14,6,2
33,15,4,4
34,15,5,8
35,16,5,5
36,16,6,6
