M,CPI
200601,2.2243661168030116
200602,2.0151031234775303
200603,2.003013263741309
200604,2.0009944498945202
200605,2.302994430842915
200606,2.412499662681796
200607,2.4001182589063745
200608,2.6917305321828593
200609,2.4797354948805435
200610,2.1867778089474967
200611,2.097611351779065
200612,2.089991308417467
200701,1.6814876845981104
200702,2.1703081678407017
200703,2.1588616192121464
200704,2.4492108244841972
200705,2.348454963839572
200706,2.5480224500013264
200707,2.5394034042441405
200708,2.039271968164911
200709,2.324764531404483
200710,3.015843965697556
200711,3.517898193760246
200712,3.6058573898464914
200801,3.8903994980129823
200802,3.575833906799801
200803,3.938603738510807
200804,4.116459407672252
200805,4.874351199958895
200806,5.54370728197749
200807,5.903959863823687
200808,5.613236497545017
200809,5.1083847180726
200810,4.815806504828487
200811,4.5328223544788955
200812,4.139012149024651
200901,3.747231729414139
200902,4.104248411076711
200903,3.8812643606781307
200904,3.581927323929719
200905,2.734288864388091
200906,1.9926720307725958
200907,1.6181855535548237
200908,2.1622799583524994
200909,2.160318362706093
200910,1.9818881813118878
200911,2.438846737481029
200912,2.8006069802731304
201001,3.518496058217096
201002,2.983924378349087
201003,2.4581539933046486
201004,2.598316281510108
201005,2.7020581431399364
201006,2.6889292022723907
201007,2.5307423352282115
201008,2.681788016685644
201009,3.40757053718373
201010,3.68255475752359
201011,2.988718240424731
201012,3.0337025578044887
201101,3.4410844629822748
201102,3.939291184827482
201103,4.1332150858849985
201104,3.8167850210945886
201105,3.9116199145457813
201106,4.217756650898991
201107,4.509708400027847
201108,4.685678673237376
201109,3.7590024846285104
201110,3.5620641881447597
201111,4.174625457390732
201112,4.158118531592763
201201,3.345868068140632
201202,3.032893848715304
201203,2.6625428629059513
201204,2.552476910159541
201205,2.5386325798630196
201206,2.195829151332646
201207,1.47610485893766
201208,1.2656134587187466
201209,2.0878393290664263
201210,2.0907040509463997
201211,1.6314312854838846
201212,1.4260720298418619
201301,1.6286359352052528
201302,1.5831768353932887
201303,1.4604754731809493
201304,1.3296217455379065
201305,1.148535997994955
201306,1.1687163762153574
201307,1.6154081721935398
201308,1.505633879483966
201309,0.9804133517813796
201310,0.8609579917477959
201311,1.2009433654671682
201312,1.1434770816381956
201401,1.0805797601587557
201402,1.0124895204110231
201403,1.2920647215767502
201404,1.4985510056774842
201405,1.6655354815078312
201406,1.658936468557883
201407,1.5897275829037056
201408,1.4082241146313663
201409,1.1464477247669151
201410,1.1499559774088937
201411,0.9654624339533484
201412,0.8334316575314489
201501,0.9740744692200849
201502,0.6458821025750154
201503,0.47051076439413464
201504,0.4362408983802766
201505,0.5520880797719627
201506,0.7013411425176059
201507,0.7352785370711814
201508,0.7001512411291202
201509,0.5037570113239411
201510,0.8078127487925144
201511,0.8200819018241816
201512,1.131842648341589
201601,0.6223386832623561
201602,1.1132608075105566
201603,0.8425303395492421
201604,1.0018494055482137
201605,0.7798503530403593
201606,0.7396558808964357
201607,0.3691628102650384
201608,0.48732841103631586
201609,1.3489038182086261
201610,1.4879009329654878
201611,1.530816787289254
201612,1.3379615020511153
201701,2.240843413978496
201702,2.082810539523223
201703,2.2768966276351534
201704,1.955573226748129
201705,2.0035553696538813
201706,1.8062775203689938
201707,2.167010719787072
201708,2.4885813727437096
201709,2.0000623396053925
201710,1.7617945818072371
201711,1.15340253748559
201712,1.4074858317244718
201801,0.760018897767182
201802,1.252663061291372
201803,1.2155998565059178
201804,1.5280885039305616
201805,1.4690504992516367
201806,1.4804084735663423
201807,1.1189858357521558
201808,1.4318056660343785
201809,2.087153159760419
201810,2.0025082333268784
201811,2.0370427439982706
201812,1.3203955045139253
201901,0.7930197949157076
201902,0.4612816751808282
201903,0.3746797500784709
201904,0.5559430310013909
201905,0.6799422099637269
201906,0.7208009799653894
201907,0.6055380870270852
201908,-0.037200136735648925
201909,-0.42605841091189234
201910,0.0
201911,0.15201852411155414
201912,0.7384733503050853
202001,1.219610857165975
202002,0.8548901934327375
202003,0.8262628504555067
202004,0.01909912445591999
202005,-0.21274033637057244
202006,0.2201204129016645
202007,0.44663111093188945
202008,0.7694241890872604
202009,0.947952782732429
202010,0.13894303335632685
202011,0.6121771996662915
202012,0.6127217481121932
202101,0.9491457688080658
202102,1.4177316293929891
202103,1.9011406844106489
202104,2.4924623115578015
202105,2.624698310539017
202106,2.346805736636256
202107,2.6397671384121395
202108,2.555145224074252
202109,2.4121500893389083
202110,3.1643042523457723
202111,3.776601059046868
202112,3.69779726901227
202201,3.6124307205067225
202202,3.662138216184289
202203,4.143754909662206
202204,4.775446165914872
202205,5.399314061734444
202206,6.046055854973062
202207,6.336788578134161
202208,5.712895377128959
202209,5.58301831927885
202210,5.670053217223028
202211,5.035140078944835
202212,5.036524413687047
