M,Sales Price Index
200601,4.397819901755568
200602,4.524790122491694
200603,4.80463784356337
200604,5.089772802820548
200605,5.534832770582
200606,5.260854826855436
200607,4.715439088737611
200608,4.583254274060835
200609,4.979997886071175
200610,6.424519482799113
200611,9.648751597738084
200612,11.576719478401827
200701,12.662317891003411
200702,12.857147614958905
200703,12.561191163669633
200704,11.996158715054108
200705,11.192710032070778
200706,10.931474451991562
200707,11.087629839896394
200708,11.169220582881437
200709,11.021794091687397
200710,10.123075292765591
200711,7.492166061132636
200712,5.814477262723756
200801,4.969550742643733
200802,4.832779947022885
200803,5.542816317459213
200804,6.472624655026323
200805,7.265948295692894
200806,8.209619844362521
200807,8.58943040004651
200808,8.74603837340959
200809,8.742243183610938
200810,8.15497367618822
200811,7.053969270554177
200812,5.863283774453777
200901,4.779533034425796
200902,4.068745972856107
200903,2.813978326113144
200904,1.6539460504316281
200905,0.8145461953365611
200906,-0.13927590688243185
200907,-0.597359842530679
200908,-0.7355444745054882
200909,-0.5349297236103894
200910,-0.1649863339843307
200911,0.5552251232856946
200912,1.4943170776217158
201001,2.183868534155664
201002,2.6847658404539345
201003,3.077509375694845
201004,3.197964244302611
201005,3.10417088171549
201006,2.902911408170027
201007,2.4564183102143318
201008,2.027469804910382
201009,1.3839221140482039
201010,1.1803866837905872
201011,1.2605869485832244
201012,1.4576302476555725
201101,1.7445947258604662
201102,2.1903557237198896
201103,2.8520771095323028
201104,3.8432004468232464
201105,3.973799074514986
201106,4.460528677939621
201107,5.04007228116609
201108,5.656237528421499
201109,6.115566938157201
201110,6.321232668173366
201111,6.353949947034593
201112,6.136413764302645
201201,5.961252901370841
201202,5.23262339266563
201203,4.347093996044933
201204,3.1108070226549813
201205,2.862695305881175
201206,2.162540243764795
201207,1.4887811730069416
201208,0.7149076653126087
201209,-0.022121982252244266
201210,-0.5747142044379814
201211,-1.0880850196779335
201212,-1.4320390641189675
201301,-1.9250202800109548
201302,-2.100937234304425
201303,-2.1979378041312287
201304,-2.025486512535622
201305,-1.767480484005958
201306,-1.5193373532330696
201307,-1.3262956903355416
201308,-1.1773910898506585
201309,-0.8982730006874959
201310,-0.4250014467849468
201311,-0.06893003870226266
201312,0.3051128004868815
201401,0.8023614690015677
201402,1.1805437343046776
201403,1.4940757780128564
201404,1.4399743798476834
201405,1.2865847574838227
201406,1.2701941845603102
201407,1.3775834281593973
201408,1.6034052016914018
201409,1.7991535155728684
201410,1.752097951367432
201411,1.7294260052838126
201412,1.7089318308557893
201501,1.6133744260505694
201502,1.6129168233976117
201503,1.6872163328869334
201504,2.056739552860904
201505,2.3774806923785263
201506,2.7453857448908963
201507,2.9986706951076485
201508,3.178583665987162
201509,3.2682975050512653
201510,3.358318950690162
201511,3.4996592800330433
201512,3.5104733050969514
201601,3.4073214201582545
201602,3.1994053461479837
201603,2.881301859226639
201604,2.4609060061210783
201605,2.1530679638578363
201606,1.8095502323565427
201607,1.5675292972793926
201608,1.368586217012961
201609,1.1180686346017978
201610,0.9555869691850347
201611,0.7973768669752133
201612,0.7108901220039883
201701,0.684008603336224
201702,0.6986489173342818
201703,0.7596850664513397
201704,0.839624273502011
201705,0.9501338642326829
201706,1.1231726388724041
201707,1.2609312294772508
201708,1.4401345682165072
201709,1.4865515186449159
201710,1.4506913804845851
201711,1.4288117885803189
201712,1.4775236126929059
201801,1.605785396482304
201802,1.7907715490095057
201803,1.8593697232579274
201804,1.8172434107744948
201805,1.6458739985740038
201806,1.4085525404048411
201807,1.20581584628097
201808,0.9798380461456588
201809,1.1665564992142237
201810,1.2254866745265929
201811,1.2218876815551312
201812,1.101322234472974
201901,0.8079263463192063
201902,0.4924386828272418
201903,0.20746084133240572
201904,-0.05546406372474166
201905,-0.1902076949224778
201906,-0.29612700761354915
201907,-0.3666656087486331
201908,-0.4388304579258602
201909,-0.7315493212716575
201910,-0.802777370504657
201911,-0.7397733326130691
201912,-0.3564404634864218
202001,0.06495979882370762
202002,0.5192360739145556
202003,1.2263882306426552
202004,1.7121856302621268
202005,2.0127021732537287
202006,2.5629949732411745
202007,3.2857456630451765
202008,3.8247954030901923
202009,4.248683931999551
202010,4.457185927594807
202011,4.819184545917565
202012,5.360427178388477
202101,5.9020536519406335
202102,6.491017668799913
202103,6.695930005102227
202104,7.1574973038901675
202105,7.760898253835279
202106,8.556212851266068
202107,8.814551014316336
202108,9.344685973807884
202109,9.881343359617787
202110,10.501847547035908
202111,10.602775040059782
202112,9.932720272420312
202201,9.17702469717787
202202,8.24056144471534
202203,7.468582499613859
202204,6.777858045390573
202205,6.051345888990724
202206,4.837209900000005
202207,3.8724677528713727
202208,2.588585754637478
202209,1.1622089437162089
202210,-0.4976758938431658
202211,-2.4740247609652357
202212,-4.677155231111527
