,0,1,2
0,1,2,2
1,1,6,1
2,2,2,2
3,2,3,1
4,2,5,3
5,3,2,1
6,3,3,2
7,3,4,3
8,3,5,6
9,3,6,3
10,4,2,3
11,4,3,2
12,4,4,3
13,4,5,1
14,5,2,1
15,5,4,5
16,6,2,1
17,6,3,6
18,6,5,6
19,7,2,1
20,7,3,5
21,7,6,6
22,8,2,1
23,8,3,3
24,8,4,3
25,8,5,4
26,8,6,6
27,9,2,1
28,9,3,5
29,9,4,5
30,9,6,6
31,10,2,1
32,11,6,2
33,12,2,1
34,13,4,3
35,14,2,2
36,14,3,1
37,14,4,4
38,14,5,4
39,14,6,6
40,15,2,1
41,15,3,2
42,16,2,1
43,16,4,2
